membership_status,age_group,visit_frequency,notice_cfp_label,motivated_by_eco_points,pos_convenience,feeling_on_digital_receipt,donate_to_environment,shopping_discount_coupon,redeem_eco_product
1,20-35,2,3,3,3,3,0,1,0
1,< 20,3,1,2,3,3,0,0,1
0,20-35,2,2,3,3,3,0,1,0
1,20-35,2,1,2,3,3,0,1,0
0,< 20,2,2,2,3,3,0,1,0
1,20-35,3,2,2,2,3,0,0,1
1,20-35,1,2,2,3,3,0,1,0
1,20-35,2,1,2,3,3,0,1,0
0,20-35,3,2,3,3,3,0,1,0
0,20-35,3,1,2,3,3,0,1,0
0,< 20,2,1,2,3,3,0,1,0
0,20-35,1,2,3,3,3,1,0,0
0,20-35,1,2,2,3,3,0,1,0
1,20-35,1,1,2,3,3,0,1,0
1,36-55,2,2,2,3,3,0,1,0
0,20-35,1,1,2,2,1,0,1,0
0,20-35,1,2,2,3,3,1,0,0
0,20-35,2,2,3,3,3,0,1,0
0,20-35,1,2,2,2,3,0,1,0
1,20-35,1,2,3,2,3,0,1,0
0,< 20,2,2,2,3,3,0,1,0
0,20-35,2,2,2,3,3,1,1,1
1,20-35,3,2,2,3,3,0,1,1
0,20-35,1,2,3,3,3,0,1,0
1,< 20,3,2,3,3,3,1,1,0
1,20-35,3,2,2,3,3,0,1,0
0,< 20,3,2,2,2,3,0,0,1
0,20-35,2,2,2,3,3,1,1,0
0,20-35,2,2,2,3,1,1,1,0
1,< 20,3,1,2,2,3,0,1,0
1,< 20,2,2,3,3,3,0,1,0
0,< 20,1,1,2,3,3,0,1,0
0,20-35,1,1,2,3,3,0,0,1
0,< 20,1,2,2,2,3,0,0,1
0,< 20,3,1,3,3,3,0,1,0
1,20-35,1,2,2,3,3,0,1,0
1,20-35,3,2,2,3,3,0,0,1
0,20-35,1,2,3,3,3,1,1,1
1,20-35,2,2,2,3,3,0,1,1
0,36-55,1,2,2,3,3,0,1,0
0,< 20,1,1,1,2,3,0,1,0
1,20-35,2,2,2,3,3,1,1,1
0,20-35,1,1,2,3,3,0,1,1
1,< 20,3,2,3,1,1,0,0,1
0,20-35,1,2,1,2,1,0,1,0
0,20-35,1,1,2,3,1,0,1,0
0,20-35,3,1,2,2,3,0,1,0
0,< 20,3,2,2,2,3,0,1,0
0,20-35,1,1,2,3,3,1,1,1
1,36-55,2,2,3,3,3,0,1,0
0,20-35,1,2,1,3,3,0,1,0
0,20-35,2,2,2,3,3,1,1,1
